1,0.010248,-0.006405,-0.985150,1.120000,-0.113750,-61.976250,811369380
2,0.012932,-0.015250,-1.001193,0.708750,-1.601250,-61.740002,811369876
3,0.003843,-0.019703,-0.981002,0.665000,-0.533750,-61.783749,811370372
4,-0.007137,-0.011407,-0.992531,0.008750,-0.673750,-61.836250,811370868
6666
1,0.009455,-0.008479,-0.971913,1.172500,-0.061250,-61.608749,811376046
2,0.011407,-0.011346,-0.997472,0.796250,-1.452500,-61.494999,811376543
3,-0.002196,-0.012932,-0.975817,0.761250,-0.428750,-61.372501,811377039
4,-0.011590,-0.016226,-0.978257,0.288750,-0.743750,-61.529999,811377545
6666
1,0.011773,0.000122,-0.982893,1.181250,-0.052500,-61.372501,811382713
2,0.010797,-0.016043,-0.995764,0.735000,-1.566250,-61.250000,811383209
3,0.001403,-0.014945,-0.977342,0.857500,-0.393750,-61.188751,811383705
4,-0.004636,-0.010858,-0.986126,0.192500,-0.638750,-61.101250,811384201
6666
1,0.009333,-0.004453,-0.989420,1.426250,-0.035000,-61.066250,811389380
2,0.011041,-0.015067,-1.000705,0.883750,-1.531250,-60.882500,811389876
3,-0.001037,-0.020679,-0.982893,0.901250,-0.455000,-60.996250,811390377
4,-0.015006,-0.010919,-0.985394,0.192500,-0.577500,-60.733749,811390873
6666
1,0.006161,-0.005856,-0.987163,1.373750,0.105000,-60.830002,811396047
2,0.012444,-0.015250,-1.001071,1.050000,-1.347500,-60.602501,811396543
3,-0.000610,-0.020618,-0.981917,1.085000,-0.280000,-60.654999,811397039
4,-0.014213,-0.015921,-0.985455,0.525000,-0.525000,-60.549999,811397535
6666
1,0.013542,-0.008845,-0.988200,1.461250,0.043750,-60.611252,811402719
2,0.016775,-0.017568,-1.001742,0.953750,-1.426250,-60.497501,811403215
3,0.012017,-0.018605,-0.983442,1.058750,-0.288750,-60.541248,811403711
4,0.007442,-0.012993,-0.993202,0.455000,-0.533750,-60.549999,811404207
6666
1,0.008052,-0.006466,-0.988993,1.268750,0.148750,-60.865002,811409381
2,0.015616,-0.018483,-1.002718,1.015000,-1.330000,-60.628750,811409877
3,0.010248,-0.021228,-0.986492,1.041250,-0.332500,-60.803749,811410373
4,0.009943,-0.014091,-0.990457,0.280000,-0.481250,-60.654999,811410869
6666
