1,-0.999302,-0.028609,0.000610,-60.410000,-0.586250,-1.338750,211321399
2,-0.998265,-0.015982,-0.016043,-60.935001,-0.630000,-0.595000,211321896
3,-1.002352,-0.009333,-0.002379,-60.663750,-0.840000,-0.918750,211322391
4,-1.003633,0.015494,0.011773,-61.223751,-1.478750,-1.146250,211322888
6666
1,-0.990274,-0.055876,-0.019886,-60.812500,0.236250,-1.811250,211328066
2,-0.996618,-0.023973,-0.012810,-61.285000,-0.971250,-0.105000,211328562
3,-0.999668,-0.010248,-0.018117,-61.171249,-1.050000,-0.638750,211329059
4,-0.992958,0.005551,-0.003904,-61.556252,-1.557500,-1.251250,211329565
6666
1,-0.992226,-0.039406,-0.007564,-60.821251,-1.688750,0.000000,211334733
2,-1.007964,-0.011834,-0.005612,-61.573750,-1.190000,0.052500,211335229
3,-1.010587,-0.002684,-0.010431,-61.250000,-1.225000,-0.297500,211335725
4,-1.009001,0.008235,-0.002379,-61.810001,-1.828750,-0.420000,211336222
6666
1,-0.989054,-0.042578,0.003172,-61.031250,-0.778750,-0.971250,211341400
2,-0.998753,-0.018666,-0.023363,-61.643749,-1.076250,0.315000,211341901
3,-0.988993,-0.022875,-0.009394,-61.320000,-1.233750,-0.078750,211342397
4,-1.004304,0.010675,-0.011590,-61.818748,-2.030000,-0.157500,211342893
6666
1,-0.995154,-0.048129,-0.030012,-61.013748,-0.980000,-0.638750,211348067
2,-1.002840,-0.011956,-0.022631,-61.678749,-1.347500,0.393750,211348563
3,-1.001132,-0.010309,-0.013054,-61.328751,-1.452500,-0.113750,211349059
4,-1.016992,0.015494,-0.010370,-61.888748,-2.100000,-0.315000,211349555
6666
1,-1.004121,-0.020740,-0.006527,-60.978748,-1.863750,-0.008750,211354739
2,-1.006805,-0.004819,-0.011651,-61.713749,-1.435000,0.218750,211355235
3,-1.005341,-0.004575,-0.021533,-61.293751,-1.382500,-0.297500,211355731
4,-1.006988,0.016348,-0.013115,-61.871250,-2.082500,-0.166250,211356227
6666
1,-0.989481,-0.026840,0.000610,-60.935001,-0.787500,-0.726250,211361401
2,-1.002596,-0.002562,-0.015311,-61.529999,-1.155000,0.105000,211361897
3,-1.003633,-0.003843,-0.009821,-61.083752,-1.408750,-0.577500,211362393
4,-1.022299,0.030195,-0.015128,-61.529999,-1.846250,-0.778750,211362894
6666
1,-0.993141,-0.040504,-0.018971,-60.768749,-0.560000,-1.277500,211368068
