1,-0.018666,0.986797,0.005246,-1.426250,60.121250,-1.268750,361331191
2,0.000366,0.975817,0.008479,-1.435000,60.331249,0.148750,361331687
3,0.017690,0.988078,0.031964,-0.813750,60.427502,0.087500,361332183
4,0.030805,1.008086,0.036539,-0.822500,59.928749,-1.102500,361332679
6666
1,-0.005734,0.994422,0.012688,-1.347500,60.856251,-1.146250,361337857
2,-0.001830,0.984967,0.011956,-1.575000,61.031250,0.087500,361338353
3,0.028670,0.986736,0.035441,-0.682500,61.276249,0.026250,361338849
4,0.012627,1.005890,0.034465,-0.595000,60.681252,-1.015000,361339355
6666
1,-0.013542,0.989542,0.037271,-1.137500,61.311249,-1.408750,361344524
2,-0.004819,0.967399,0.020191,-1.058750,61.424999,0.323750,361345020
3,0.016348,0.991616,0.040382,-0.428750,61.503750,-0.026250,361345516
4,0.034892,0.964044,0.010614,0.148750,60.812500,-0.595000,361346012
6666
1,0.008113,1.002962,0.013969,-1.758750,61.267502,-0.971250,361351191
2,0.017263,0.993324,0.006771,-1.925000,61.451248,0.446250,361351687
3,0.011468,0.983991,0.027145,-0.726250,61.512501,-0.262500,361352188
4,0.031598,0.993263,0.012627,0.052500,60.654999,-0.796250,361352684
6666
1,-0.000793,0.986858,0.011651,-1.216250,60.970001,-1.312500,361357858
2,0.019459,0.979904,0.001037,-1.400000,61.188751,0.157500,361358354
3,0.008662,0.982344,0.025803,-0.560000,61.171249,-0.070000,361358850
4,0.034282,0.991006,0.013176,-0.297500,60.593750,-0.700000,361359346
6666
1,0.001098,0.996374,0.009943,-0.288750,60.786251,-1.435000,361364525
2,0.011712,0.995337,-0.012871,-0.358750,60.794998,-0.148750,361365026
3,0.027023,0.997533,0.003172,0.192500,60.917500,-0.341250,361365522
4,0.031903,1.014857,-0.008906,0.157500,60.278751,-1.085000,361366018
6666
1,0.000061,0.993995,0.012505,-0.910000,60.401249,-1.820000,361371192
2,0.011346,0.987834,0.007381,-0.831250,60.418751,-0.420000,361371688
